0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
without,0.156748,0.418751,0.49073,-0.068295,-0.421032,0.056163,-1.180825,0.799206,-0.330516,-0.663273,-0.748953,1.098534,0.138596,-0.017877,-0.734462,0.640119,1.030972,0.907089,0.467108,-0.656214
dont,-0.522021,0.375968,0.280268,0.923532,-0.861675,-0.403335,-1.152853,1.362749,-0.604754,-0.140302,-0.097243,0.824045,-0.251066,-0.825107,-0.199129,-0.081288,0.257112,0.503626,0.19608,-0.660769
upload,-0.113524,0.646127,-0.89223,-0.074841,0.376573,0.779908,-1.416624,1.369098,-1.634519,-0.451478,0.17765,-0.381731,0.17733,-0.26578,0.54286,0.976973,0.923774,0.746255,-0.750424,-1.484826
topic,0.373845,1.007761,-0.509372,0.635076,-0.381805,-0.298436,0.360846,2.051382,-0.511123,0.001983,-0.033085,0.069335,-0.559876,-0.402118,0.028413,-1.203875,0.317476,0.703486,0.544266,-0.191247
closest,0.596429,-1.419592,0.429363,-1.043661,-1.426131,-0.275077,-1.188146,-0.71072,-0.528006,0.262206,1.017742,1.635168,0.595813,-1.401819,0.849062,-2.166631,0.095992,1.099247,-0.66652,-0.260442
easili,0.034399,0.183662,0.431529,0.834855,0.073265,0.101987,-0.687832,0.812719,-0.368509,-0.751429,0.198234,0.236234,-0.802736,-0.847735,-0.336611,-0.308346,1.296127,0.615077,0.831679,0.685574
best,-0.35589,-0.520574,-0.407753,-0.865445,-0.064008,0.895328,-0.07956,1.019012,-1.438986,-0.449472,-0.156083,0.134636,0.180522,-0.556251,0.507775,-1.724606,0.030523,-0.196949,-0.870351,0.212019
set,-1.349334,-0.815157,-1.152243,-0.531552,-0.265572,0.156435,-0.937083,1.241799,-0.211446,-0.4764,0.629665,0.997269,0.374686,-0.410592,-0.990617,-0.370115,1.409884,0.672244,-0.733453,0.383098
call,0.216587,0.279168,0.065468,0.055781,0.191454,-0.921872,-1.420202,0.722009,-0.902126,-0.423772,-2.024682,0.574673,0.545607,-0.265367,-0.356928,0.172989,0.664392,0.384535,-0.754183,-0.691995
classmat,-0.183182,0.029825,0.428553,1.388596,-1.034447,-1.064558,-0.365458,-0.242866,-0.957535,-0.448265,0.157604,-0.461808,-0.245044,0.183719,0.371448,-1.225597,1.289061,0.669707,-0.286049,1.051974
lot,0.311189,0.100662,-0.20031,0.81712,0.247583,-0.3222,-0.179127,0.964833,-0.878435,-0.973762,0.011267,0.705145,-0.04003,-0.591296,-0.762612,-0.4314,0.935388,0.519432,-0.149178,0.213791
us,-0.818616,0.953399,-1.061956,0.467567,-0.394376,0.200591,0.058637,0.923879,-1.360448,-0.844282,0.539954,-1.143089,-0.012116,0.231305,-0.260777,-0.790115,1.54962,0.771766,0.652671,-0.196779
activ,-0.017416,0.624388,0.149966,0.396247,1.063615,0.129994,0.006461,0.223522,-1.372437,-0.64474,0.23922,0.203934,1.30006,0.213292,0.192511,-1.012995,1.341161,0.868574,0.093697,0.579027
commun,0.445959,0.065877,0.539855,0.381705,-0.856292,-0.718383,-0.019578,-0.307096,-0.813722,-0.948233,0.474706,0.347399,-0.19816,0.243853,-0.790691,-1.251063,1.177766,0.554271,0.378569,0.802545
structur,-1.570432,-0.248848,-0.728658,0.341555,0.192132,-0.249459,0.170602,-0.481644,-1.45497,-1.542885,0.251948,-0.452955,0.215272,-0.384926,-1.322319,-0.285751,1.092077,0.057593,0.126428,0.127785
read,0.428529,0.311244,-0.398671,0.110356,-0.048798,1.446228,-0.620981,1.938425,-1.173637,-0.145733,0.640838,0.432688,-0.546831,0.145692,0.430403,0.293342,0.249203,0.747074,-0.231913,-0.709296
flexibl,-1.353377,-0.315013,-0.723121,0.39134,0.337355,0.231434,0.264235,0.518307,-1.546898,-1.120613,-0.091838,0.187913,-0.381813,-1.10796,-0.755059,-0.150632,0.478107,-0.444506,0.230325,0.470444
miss,0.049573,0.927901,1.167216,1.010723,-0.425428,0.158321,-0.825707,0.359323,-0.427326,-0.146607,-0.313895,0.181139,-0.096546,-1.279292,0.689489,-0.108072,-0.431212,0.713042,1.198735,-1.069626
access,-0.185502,-0.067982,0.161847,0.198572,-0.469378,0.06106,0.003516,0.735447,-0.873737,-1.048633,-0.207433,-0.450569,-1.092208,-1.439252,-0.565205,0.247202,0.910817,-0.421758,0.56371,0.474956
