0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
feedback,0.500307,0.078942,-0.138847,-0.170567,-0.634413,-0.814667,-0.380581,-0.032953,0.259987,-0.252245,1.0823,-0.33651,-0.043858,0.20284,-1.036297,-0.06787,2.433238,1.020727,0.337351,0.93081
topic,0.373845,1.007761,-0.509372,0.635076,-0.381805,-0.298436,0.360846,2.051382,-0.511123,0.001983,-0.033085,0.069335,-0.559876,-0.402118,0.028413,-1.203875,0.317476,0.703486,0.544266,-0.191247
rewindrewatch,-0.014568,0.013745,0.058351,0.053108,-0.041783,0.009353,-0.136434,-0.094136,-0.130024,-0.036046,-0.018829,0.011595,0.010692,0.074247,0.111304,-0.033096,0.021042,0.117438,-0.048256,0.031249
quiet,0.015969,-0.18699,-0.327429,-0.352133,0.199476,-0.303012,0.345388,0.008853,0.621123,0.175366,-0.202248,-0.153272,0.045765,-0.02898,-0.37622,0.340525,0.048359,-0.361939,-0.049634,0.156075
student,-0.2618,0.36489,-0.28655,0.892199,-0.10342,-1.120659,-0.210943,0.466649,-1.36433,-0.794466,-0.128178,-0.892436,0.589568,-0.645084,0.051716,-1.406592,1.632372,0.754255,0.025051,0.607834
pace,-1.429152,0.412565,-0.268806,0.223124,0.450861,1.714147,-0.981896,1.937656,-1.313901,-0.950463,-1.310162,0.851374,-0.598875,-0.511138,-0.446328,-0.204908,0.861969,0.538144,1.063533,0.350909
workshop,0.310634,-0.155919,0.12327,-0.294946,-0.030933,-0.314885,0.11242,-0.451548,0.345156,0.15976,0.125598,-0.413356,0.139397,-0.148839,0.133103,0.334286,-0.11374,-0.197015,-0.066144,-0.23643
assumpt,0.12206,-0.050924,-0.034416,-0.029951,0.073389,0.054138,0.116355,0.021123,0.185707,0.113393,-0.017969,-0.141129,-0.093344,0.159026,0.018947,0.094739,-0.171808,-0.141613,-0.027388,0.015958
face,0.398031,-0.829608,1.023606,-0.080146,-1.841352,-0.666767,0.093392,-0.732472,-1.920505,-0.671482,0.181316,0.669307,-0.600269,0.630863,0.537424,-1.760144,0.715543,0.548652,0.001652,0.234329
rare,0.127003,0.001245,0.038506,-0.175908,-0.034538,-0.151841,0.025731,-0.229606,0.126649,0.154695,0.009094,-0.116257,0.166093,0.138314,0.051122,0.046207,-0.130163,-0.066163,-0.168192,-0.141834
fall,-0.37258,-0.46861,-0.301417,0.130977,0.201641,0.126536,0.4167,-0.568301,0.521436,0.504792,0.112411,0.124505,-0.034249,-0.094368,0.087072,0.665949,-0.544144,-0.380983,0.203422,0.140398
dislik,-0.011268,0.059581,0.042057,0.116571,0.049686,0.027971,0.066507,-0.024309,0.167719,0.064362,-0.065954,-0.0366,-0.024697,0.118871,0.003663,0.106912,-0.121099,-0.045817,-0.025766,0.004445
benefici,0.064567,0.031145,-0.300034,-0.051767,0.464699,0.189249,-0.199407,0.298569,-0.657501,-0.283999,-0.074402,-0.215546,0.329463,0.279569,0.191083,-0.4583,0.527362,0.208599,-0.683658,0.238442
allow,-0.841317,0.620354,-0.113939,0.441451,0.062277,0.044559,-0.042149,1.02309,-2.109892,-1.285534,0.03805,-0.03125,-0.072982,-0.330642,-0.500086,-1.292135,1.679696,0.803801,0.863647,0.256649
